author_uri,publication_uri,doi_publication_uri,doi_author_uri
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/823872,http://dx.doi.org/10.1038/sj.cgt.7700886,http://id.crossref.org/contributor/s-e-lawler-2xirkunpxn6p0
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/827678,http://dx.doi.org/10.1158/0008-5472.CAN-07-1063,http://id.crossref.org/contributor/s-e-lawler-1asf6n810v6u5
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1070998,http://dx.doi.org/10.1158/0008-5472.CAN-07-6639,http://id.crossref.org/contributor/s-lawler-1aygrhkxcm367
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1026043,http://dx.doi.org/10.1215/15228517-2008-041,http://id.crossref.org/contributor/s-lawler-3mlr2firjxrqw
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/939472,http://dx.doi.org/10.1158/0008-5472.CAN-08-2629,http://id.crossref.org/contributor/s-lawler-2zkq908wxvb16
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/838911,http://dx.doi.org/10.1089/ten.TEC.2008.0486,http://id.crossref.org/contributor/sean-e-lawler-18dficjc4l4ye
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/769893,http://dx.doi.org/10.2144/000113068,http://id.crossref.org/contributor/sean-lawler-1stf3ln9l049i
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/954268,http://dx.doi.org/10.1038/mt.2009.64,http://id.crossref.org/contributor/sean-e-lawler-31r98w0t8pefs
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/839081,http://dx.doi.org/10.1007/s11060-009-9843-2,http://id.crossref.org/contributor/sean-lawler-1rgm0fc2hfw6h
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/875617,http://dx.doi.org/10.1038/cdd.2009.71,http://id.crossref.org/contributor/s-e-lawler-2fftwq58o64x3
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/814557,http://dx.doi.org/10.1016/j.jtbi.2009.06.025,http://id.crossref.org/contributor/sean-lawler-2i1tq22g5an72
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1089404,http://dx.doi.org/10.1523/JNEUROSCI.4966-09.2009,http://id.crossref.org/contributor/s-lawler-wx69t1fqc76h
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/815309,http://dx.doi.org/10.1016/j.molcel.2010.02.018,http://id.crossref.org/contributor/sean-e-lawler-hbve1thzppro
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1023054,http://dx.doi.org/10.1093/neuonc/nop035,http://id.crossref.org/contributor/s-lawler-1j728mxi5wsw2
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/917113,http://dx.doi.org/10.1016/j.wneu.2010.06.047,http://id.crossref.org/contributor/sean-e-lawler-xnw5g5q4cppl
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/25895067,http://dx.doi.org/10.1007/s11060-010-0345-z,http://id.crossref.org/contributor/sean-e-lawler-ix356h6hmt1c
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/892296,http://dx.doi.org/10.1586/era.10.168,http://id.crossref.org/contributor/sean-e-lawler-2q77vdspxf05n
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/845986,http://dx.doi.org/10.1158/0008-5472.CAN-10-3026,http://id.crossref.org/contributor/s-e-lawler-25jhewuhrq55v
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1105928,http://dx.doi.org/10.1093/brain/awr262,http://id.crossref.org/contributor/s-e-lawler-28gthjw3uebf3
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/952702,http://dx.doi.org/10.1038/ncb2396,http://id.crossref.org/contributor/s-e-lawler-395ycrqtnw83b
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/25897682,http://dx.doi.org/10.1371/journal.pone.0028293,http://id.crossref.org/contributor/sean-lawler-2w1jbrdskkl9v
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/1155044,http://dx.doi.org/10.1038/nm.3013,http://id.crossref.org/contributor/sean-e-lawler-2kg93ftrvgtpr
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/27322047,http://dx.doi.org/10.1093/neuonc/not055,http://id.crossref.org/contributor/s-e-lawler-1zox7yhdvfpty
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/27322961,http://dx.doi.org/10.1074/jbc.M113.487553,http://id.crossref.org/contributor/s-e-lawler-1awnugd7z781f
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/27322843,http://dx.doi.org/10.1038/srep02392,http://id.crossref.org/contributor/sean-lawler-3qx4ua579olvx
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/28781460,http://dx.doi.org/10.1002/ijc.28465,http://id.crossref.org/contributor/sean-e-lawler-r1cb4k77ryiv
http://connects.catalyst.harvard.edu/Profiles/profile/10712214,http://connects.catalyst.harvard.edu/Profiles/profile/28054682,http://dx.doi.org/10.1074/jbc.A113.487553,http://id.crossref.org/contributor/s-e-lawler-3hq3e1w3wygwm
